iter	Passed	Remaining
0	1	143
1	2	133
2	3	126
3	4	117
4	6	115
5	7	113
6	8	111
7	9	109
8	10	108
9	11	107
10	13	105
11	14	105
12	15	103
13	16	102
14	17	100
15	18	99
16	20	98
17	21	97
18	22	95
19	23	94
20	24	93
21	26	92
22	27	91
23	28	90
24	29	89
25	31	88
26	32	87
27	33	86
28	34	84
29	35	83
30	37	82
31	38	81
32	39	80
33	40	79
34	41	77
35	43	76
36	44	75
37	45	74
38	46	73
39	48	72
40	49	71
41	49	68
42	51	67
43	52	66
44	53	65
45	54	64
46	55	62
47	57	61
48	58	60
49	59	59
50	60	58
51	61	57
52	63	55
53	64	54
54	65	53
55	66	52
56	67	50
57	68	49
58	69	48
59	71	47
60	72	46
61	73	45
62	74	43
63	75	42
64	77	41
65	78	40
66	79	39
67	80	38
68	82	36
69	83	35
70	84	34
71	85	33
72	86	32
73	88	30
74	89	29
75	90	28
76	91	27
77	92	26
78	93	24
79	95	23
80	96	22
81	97	21
82	98	20
83	99	19
84	101	17
85	102	16
86	103	15
87	104	14
88	105	13
89	107	11
90	108	10
91	109	9
92	110	8
93	111	7
94	113	5
95	114	4
96	115	3
97	117	2
98	118	1
99	120	0
