iter	Passed	Remaining
0	162	162282
1	163	81739
2	164	54827
3	171	42794
4	173	34543
5	174	28982
6	176	24982
7	177	21983
8	183	20180
9	185	18360
10	186	16792
11	188	15486
12	189	14384
13	199	14043
14	201	13243
15	202	12481
16	204	11816
17	205	11229
18	213	11026
19	215	10557
20	217	10127
21	218	9729
22	220	9378
23	235	9589
24	237	9251
25	249	9329
26	251	9059
27	252	8767
28	268	8983
29	277	8984
30	279	8742
31	281	8517
32	282	8289
33	297	8448
34	298	8242
35	309	8285
36	311	8112
37	313	7934
38	328	8086
39	329	7909
40	330	7739
41	333	7610
42	335	7457
43	336	7305
44	337	7159
45	338	7020
46	339	6887
47	341	6772
48	347	6749
49	349	6634
50	350	6521
51	351	6412
52	353	6324
53	355	6236
54	369	6349
55	372	6275
56	386	6390
57	399	6481
58	400	6388
59	401	6293
60	402	6200
61	403	6111
62	410	6104
63	412	6031
64	413	5952
65	414	5871
66	416	5794
67	417	5718
68	418	5651
69	428	5699
70	430	5628
71	431	5559
72	433	5503
73	434	5438
74	440	5436
75	442	5380
76	443	5318
77	444	5257
78	445	5199
79	447	5147
80	448	5091
81	450	5038
82	451	4985
83	452	4934
84	453	4886
85	455	4841
86	456	4792
87	457	4745
88	463	4741
89	465	4706
90	466	4662
91	468	4619
92	473	4613
93	484	4666
94	485	4626
95	486	4585
96	488	4545
97	495	4558
98	497	4524
99	499	4494
100	504	4491
101	513	4524
102	531	4627
103	532	4590
104	534	4553
105	536	4522
106	548	4579
107	550	4545
108	552	4518
109	557	4511
110	561	4496
111	564	4477
112	577	4531
113	580	4513
114	591	4548
115	594	4529
116	595	4496
117	611	4568
118	617	4568
119	621	4554
120	625	4546
121	652	4695
122	656	4681
123	661	4671
124	664	4652
125	666	4624
126	668	4592
127	677	4615
128	684	4623
129	687	4598
130	689	4571
131	696	4577
132	699	4560
133	705	4556
134	707	4533
135	715	4546
136	718	4524
137	719	4495
138	721	4470
139	723	4442
140	733	4469
141	734	4440
142	736	4416
143	739	4394
144	770	4543
145	772	4520
146	801	4649
147	805	4636
148	853	4874
149	855	4846
150	873	4911
151	879	4904
152	899	4981
153	912	5012
154	915	4990
155	918	4968
156	931	5002
157	934	4979
158	943	4990
159	945	4964
160	946	4932
161	947	4903
162	958	4924
163	962	4906
164	964	4880
165	973	4889
166	976	4871
167	979	4848
168	993	4884
169	1009	4927
170	1011	4902
171	1028	4949
172	1036	4954
173	1040	4938
174	1042	4915
175	1045	4894
176	1047	4869
177	1049	4848
178	1061	4867
179	1062	4842
180	1064	4816
181	1076	4840
182	1078	4815
183	1080	4792
184	1082	4768
185	1092	4782
186	1094	4760
187	1109	4790
188	1111	4767
189	1112	4742
190	1125	4767
191	1127	4744
192	1142	4777
193	1144	4753
194	1145	4730
195	1156	4745
196	1158	4722
197	1161	4705
198	1175	4733
199	1178	4712
200	1186	4717
201	1191	4706
202	1192	4683
203	1197	4673
204	1207	4681
205	1210	4664
206	1214	4651
207	1229	4680
208	1238	4689
209	1241	4668
210	1243	4648
211	1245	4628
212	1249	4617
213	1253	4602
214	1254	4581
215	1256	4560
216	1257	4538
217	1261	4523
218	1263	4504
219	1270	4506
220	1272	4485
221	1273	4464
222	1275	4442
223	1276	4422
224	1290	4446
225	1293	4428
226	1309	4460
227	1312	4443
228	1325	4464
229	1327	4444
230	1332	4437
231	1336	4425
232	1338	4405
233	1339	4385
234	1340	4365
235	1342	4345
236	1354	4360
237	1356	4343
238	1357	4323
239	1359	4305
240	1365	4300
241	1366	4281
242	1368	4262
243	1380	4277
244	1381	4258
245	1382	4238
246	1384	4220
247	1393	4225
248	1394	4207
249	1396	4189
250	1397	4171
251	1399	4153
252	1404	4146
253	1407	4134
254	1408	4115
255	1410	4098
256	1411	4080
257	1412	4062
258	1413	4045
259	1420	4042
260	1422	4026
261	1423	4010
262	1425	3993
263	1426	3976
264	1427	3959
265	1428	3942
266	1439	3952
267	1441	3937
268	1445	3928
269	1447	3914
270	1449	3899
271	1450	3883
272	1468	3909
273	1470	3896
274	1471	3880
275	1474	3866
276	1478	3858
277	1479	3842
278	1480	3827
279	1482	3813
280	1494	3824
281	1498	3814
282	1499	3799
283	1511	3809
284	1514	3798
285	1527	3812
286	1529	3799
287	1531	3785
288	1542	3795
289	1544	3780
290	1546	3766
291	1560	3784
292	1562	3769
293	1570	3772
294	1575	3765
295	1594	3791
296	1606	3801
297	1626	3831
298	1640	3846
299	1643	3834
300	1651	3834
301	1653	3821
302	1654	3806
303	1655	3791
304	1657	3775
